resource,consumer,Prey group,Reference,URL/DOI,Observation
Nacella deaurata,Licmophora sp,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Amphora sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cylindrotheca sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Nitzschia sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Achnanthes sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Rhabdonema sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Grammatophora sp.,Benthic diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Fragilaria sp.,Plankton diatom,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Dinophysis sp.,Miozoa,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Protoperidinium sp.,Miozoa,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Prorocentrum sp.,Miozoa,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Spongomorpha pacifica,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulothrix sp.,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva clathrata,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva lactuca,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva prolifera,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva sp.,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Rhizoclonium sp.,Green algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ectocarpus siliculosus,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Caepidium antarcticum,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Adenocystis utricularis,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Scytosiphon lomentaria,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Halopteris funnicularis,Brown algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Acrochaetium sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Nothogenia fastigiata,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Iridaea chordata,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Sarcothalia crispata,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Grateloupia sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ceramium sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Polysiphonia sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Pterosiphonia sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ballia callitricha,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Bostrychia sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Plocamium sp.,Red algae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Forams,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Margarella violacea,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Laevilitorina caliginosa,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Eatoniella sp.,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Mytilus platensis,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Lasaea sp.,BIvalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ostracods,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Amphipoda indet,Amphipoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
